,upload_date,comments,likes,caption,hashtags,location,shortcode,video_url,video_view_count,tagged_users
0,2021-02-02 17:23:31,202,28551,"How it felt to clean out my closet.... (contrary to this song choice, I don’t do this very often) #closetorganization #closet","['closetorganization', 'closet']",,CKznLsKDnk_,https://instagram.fybz2-1.fna.fbcdn.net/v/t50.2886-16/145316359_215552953610650_2646718094412006234_n.mp4?_nc_ht=instagram.fybz2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=9c0vdt-RDHEAX-9AeYg&oe=60232B69&oh=808fcf83e504800b8de7f09eb048e365,248550.0,[]
1,2021-01-30 18:20:15,296,49493,Omw to the couch. Set from @revolve #revolvewinter,['revolvewinter'],,CKr_SqkDK2W,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/144327726_403626870939450_1528820534875008251_n.mp4?_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=-O_z7TPPi6UAX-yZGbf&oe=60233E30&oh=2b4865baa8193224482aacf779255de0,407958.0,[]
2,2021-01-28 18:22:19,211,51055,The fact that this is 2 hours from our house in Los Angeles... 🌨,[],"Big Bear Mountain, CA",CKm1_Thj-ac,,,['cordova.co']
3,2021-01-27 16:36:26,279,43287,This is why I haven’t posted to Instagram in a week... I took on a HUGE CLOSET CLEAN OUT and captured the whole thing for YouTube. Link in my bio to watch 👏🏼,[],"West Hollywood, California",CKkFE5SjuhD,,,[]
4,2021-01-21 13:56:01,243,47560,Partially on a neighborhood stroll partially showing off my deviance from wearing sweatpants. Outfit from @revolve #revolvewinter,['revolvewinter'],"West Hollywood, California",CKUV8xlj3HL,,,['revolve']
5,2021-01-19 19:52:57,245,49507,Another day another comfy outfit 🤍 from @fabletics #fableticsambassador,['fableticsambassador'],"West Hollywood, California",CKP1NQLDJE8,,,['fabletics']
6,2021-01-18 14:24:49,245,14451,"It’s a rare occasion that I put my bare skin on display online (so plz be kind) but with the help of a) newfound skin confidence and b) really good concealer - I am so ecstatic to be a #lauramercierpartner and show you the capabilities of this new Secret Camo concealer duo. One side of the product gives undetectable, comfortable cream matte coverage on any areas that need it, and the other side beautifully brightens the under eye. WIN/WIN. I’ve already been feeling so much more comfortable in my own skin (with or without makeup) so finding a product that so naturally blends into the skin to create an even complexion just triples my confidence! 👏🏼 @lauramercier",['lauramercierpartner'],,CKMqwKwje68,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/139887237_217566266755494_5358247982367442409_n.mp4?_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=O4upJNN2bk4AX8Xch5X&oe=60232EA4&oh=ac3cd8f62fac018e8679b4d79f1430b1,168219.0,['lauramercier']
7,2021-01-17 15:38:39,256,38437,"If you had told me even a couple years ago that I was going to be sharing so honestly and openly about my biggest insecurity - my acne prone skin - I would have probably done everything I could think of to sabotage it from happening. And yet, here I am, DOING IT. And I truly feel that sharing my struggles with acne online has been one of the best things I’ve done. New video just went up on my YouTube channel chatting (/rambling on) about my experience. Link in my bio 🤍 #nomakeup",['nomakeup'],"Los Angeles, California",CKKOhA1jeLE,,,[]
8,2021-01-11 16:40:34,161,26048,Well we’re a few sweat sets away from selling out... forever! Link in my bio to snag one before they’re gone! (These images were edited with @the.phlow ART 01),[],,CJ641LLj0GE,,,"['feat', 'avantstay', 'the.phlow']"
9,2021-01-10 19:10:53,165,36944,And that concludes the first week of 2021 🌇 watching the sun set over Los Angeles in cozies from @revolve #revolvewinter,['revolvewinter'],"Los Angeles, California",CJ4lPRGDVRp,,,['revolve']
10,2021-01-05 17:07:14,328,68217,"New YouTube just went up! A day of eating healthy and easy meals at home, link in my bio! (Edited all these photos with @the.phlow Art 02 + Soften 01)",[],,CJrfHOija3R,,,"['revolve', 'the.phlow']"
11,2021-01-01 17:05:14,301,64112,"Happy New (and improved) Year! Due to sitting on the sofa for NYE I have a lack of exciting fresh content to share, so instead here’s my most liked post of 2020, re-edited with @the.phlow. I remember spending hours with Zack editing these photos from Hawaii... this re-edit took me 3 clicks to get the image to the same place. Not sure how we ever lived without @the.phlow. ANYWAY hope everyone’s feeling as enthused about 2021 as I look in this photo",[],,CJhLtDrjGju,,,['the.phlow']
12,2020-12-27 19:08:58,277,61901,"In the past month or so I've started to actually put effort into styling my hair beyond the quick blow-dry I’ve been doing since I was a teen. Prior to my recent hair styling phase I always thought of curling hair as too daunting a task, but let me just say - I GET IT NOW GIRLS. It’s totally worthwhile. New YouTube video where my hairstylist @glennellishair shows me how to create my dream loose wave hairstyle and I (attempt to) learn the technique. Link in bio to watch!",[],,CJUh48-jGLC,,,['glennellishair']
13,2020-12-26 13:19:38,597,125577,Love and happiness (and coffee and comfortable clothes). @revolve #revolvewinter,['revolvewinter'],,CJRVABTDs3e,https://instagram.fybz2-1.fna.fbcdn.net/v/t50.2886-16/133342422_443470810391050_3657964075076074952_n.mp4?_nc_ht=instagram.fybz2-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=RcI1YLcQ_28AX9dOnr-&oe=60236FF3&oh=147f38f365708da47e233d09068d560a,2313629.0,[]
14,2020-12-24 17:32:39,137,33192,"GIVEAWAY! It’s been a few days since we launched our editing system @the.phlow (still pinching ourselves that we finally launched after years of working on this!) and in the spirit of giving we wanted to do our first PHLOW GIVEAWAY! 

To enter, all you have to do is follow @the.phlow (if you’re already following us, ily!) and tag us in a story (can be anything!)... and that's it! 

Even if you're already using The PHLOW you're still eligible to enter - winners who have already purchased will still be gifted the system for free by way of a full refund! 

We'll announce 7 winners on @the.phlow tomorrow evening at 8pm PST! Merry Christmas Eve!",[],,CJMoe4SjQU6,,,"['zackkalter', 'the.phlow']"
15,2020-12-20 15:21:41,257,48778,"@the.phlow IS HERE! May we present: the editing system created for us, by us, that is just too good not to share. This all began with the frustration from presets often falling short for the diverse range of images we were shooting, so over lockdown @zackkalter fell into what can only be described as an editing blackhole, to revisit an idea he had in 2018. Thousands of hours later he emerged triumphant with not only vast knowledge of color science, the dynamics of lighting and grading, and a proficiency in Lightroom that not even Adobe employees possess - but also a way to combine two powerful editing tools to create something entirely new. Something we’ve been testing and tweaking all year, and something we are coining a “proset”. And after much refinement, we are ready to share our tools with you! Our First Edition Collection is available now! Because this system was specifically built around our workflow, it works it’s magic best on the way we shoot and edit. How exactly do we shoot and edit? I just dropped a YouTube video that takes you behind the scenes of how we approach creating a photo. Link in bio to watch! And YAY for @the.phlow !!!! WWW.THEPHLOW.COM",[],,CJCGUI_ja09,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/131733601_441043400397580_7533195092425310415_n.mp4?_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=igi_tY2ShF4AX-zviYv&oe=60234422&oh=f5a23e276cfe76d3a1e2817e97060b75,90794.0,"['zackkalter', 'the.phlow']"
16,2020-12-19 17:14:31,201,45342,Almost caught you slipping @zackkalter,[],,CI_uYMhDxuh,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/132000388_390623692188544_8385355214342304433_n.mp4?_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-AIqq1CIAWkAX8wJtAX&oe=602331D8&oh=9f23325c2218baab4f32640e241a16eb,457660.0,[]
